perturbation,suite,source_id,task_description,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
task,libero_10,task/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl,put the bottle in the bottom drawer of the cabinet and close it,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,28.26642187917605,28.28018460328691,28.708277588197962,29.062246428779325,0.3927803417123181
task,libero_10,task/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl,put the white mug in the microwave and close it,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,27.840322248404846,27.922345957355574,28.29280138136819,28.557819778923875,0.3878103605188274
task,libero_10,task/libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl,put both the ketchup and the cream cheese box in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,27.350958574796095,27.405972188748418,27.907416000356896,28.518824160327203,0.38063850262150584
task,libero_10,task/libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl,put the yellow and white mug on the left plate and put the white mug on the right plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,29.643746310146526,29.791177469445394,30.370336248166858,30.984481897880322,0.41376635374229714
task,libero_10,task/libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl,put the red mug on the plate and put the chocolate pudding to the right of the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,28.88428482809104,28.857088670656086,29.404111965466292,29.827388437590564,0.40079289820355674
task,libero_10,task/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl,pick up the cup and place it in the back compartment of the caddy,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,26.48521728720516,26.516146511444823,27.006446253648026,27.57046563148964,0.3682798126589559
task,libero_goal,task/libero_goal/open_the_middle_drawer_of_the_cabinet.bddl,open the bottom drawer of the cabinet,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,17.276097749127075,17.009498450076208,17.51781338173896,17.674294975213705,0.2362430340288362
task,libero_goal,task/libero_goal/put_the_wine_bottle_on_the_rack.bddl,Put the cream cheese on the rack,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,17.79185038455762,17.804702553888784,18.211807475704703,18.326348469532093,0.24728753547067753
task,libero_object,task/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket.bddl,Pick the ketchup and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.762546040816233,15.604852103712037,15.935028661834075,16.011394778355026,0.2167340569960005
task,libero_object,task/libero_object/pick_up_the_butter_and_place_it_in_the_basket.bddl,Pick the orange juice and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.987181544536725,15.832572274748236,16.289928275533022,16.600144130825065,0.21989683714928104
task,libero_object,task/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket.bddl,Pick the salad dressing and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.959446845808998,15.964699417063967,16.0754064634908,16.22728749203961,0.22173193634811064
task,libero_object,task/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket.bddl,Pick the milk and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.985752266598865,15.974320187512784,16.122028636792674,16.206750470902772,0.2218655581598998
task,libero_object,task/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket.bddl,Pick the chocolate pudding and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.840549419634044,15.737763724690303,15.99135893303901,16.130730274557138,0.21858005173180978
task,libero_object,task/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket.bddl,Pick the tomato sauce and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,16.03610729891807,16.030603212118148,16.186055828584358,16.238224418517202,0.2226472668349743
task,libero_object,task/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket.bddl,Pick the bbq sauce and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,16.00518153863959,15.96072337676771,16.159165938803927,16.300240852334536,0.22167671356621818
task,libero_spatial,task/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,Pick the akita black bowl not between the plate and the ramekin and place it on the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,220.0,50,15.15466961520724,15.17499026350677,15.35447355909273,16.167091941446998,0.21076375365981626
task,libero_spatial,task/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.bddl,Pick the akita black bowl next to the plate and place it on the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,220.0,50,15.377692685462534,15.368393824137748,15.561023295391351,15.704547712444327,0.21344991422413537
task,libero_spatial,task/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl,Pick the akita black bowl on the top of the wooden cabinet and place it on the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,220.0,50,15.414839036297053,15.418022112445906,15.634385098144412,15.868595498171635,0.21413919600619313
swap(position),libero_object,swap(position)/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket.bddl,Pick the chocolate pudding and place it in the basket,50,1,49,0,0.02,0.003539259271646236,0.10495443589637815,277.0,280.0,49,15.941785666858777,15.695108244083821,16.059676367556676,16.2238042910723,0.2179876145011642
swap(position),libero_object,swap(position)/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket.bddl,Pick the orange juice and place it in the basket,50,1,49,0,0.02,0.003539259271646236,0.10495443589637815,231.0,280.0,49,15.72083204658702,15.82329008226283,16.462956956168636,16.986696727457456,0.21976791780920596
task,libero_goal,task/libero_goal/push_the_plate_to_the_front_of_the_stove.bddl,Push the cream cheese to the front of the stove,50,1,49,0,0.02,0.003539259271646236,0.10495443589637815,234.0,300.0,49,17.979122824501246,17.716284404620527,18.277023099735377,18.56367259527091,0.24605950561972956
task,libero_object,task/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket.bddl,Pick the cream cheese and place it in the basket,50,1,49,0,0.02,0.003539259271646236,0.10495443589637815,230.0,280.0,49,16.458662303397432,16.132093721125276,16.740478096716107,17.10897842636332,0.22405685723785104
task,libero_object,task/libero_object/pick_up_the_milk_and_place_it_in_the_basket.bddl,Pick the butter and place it in the basket,50,1,49,0,0.02,0.003539259271646236,0.10495443589637815,266.0,280.0,49,15.827719698427245,15.818756708772852,16.07451520101167,16.24987767701503,0.21970495428851186
object,libero_10,object/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,put both the alphabet soup and the tomato sauce in the basket,50,2,48,0,0.04,0.011038884327619805,0.1346009068750702,275.0,520.0,48,30.321804706007242,30.070227261753754,31.693197949603203,32.769170007421636,0.41764204530213545
swap(position),libero_10,swap(position)/libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,2,48,0,0.04,0.011038884327619805,0.1346009068750702,308.0,520.0,48,28.533449166920036,28.06682545845397,28.982944232271983,29.46591243102681,0.3898170202563051
swap(position),libero_object,swap(position)/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket.bddl,Pick the bbq sauce and place it in the basket,50,2,48,0,0.04,0.011038884327619805,0.1346009068750702,198.5,280.0,48,15.832381907617673,15.805215100515634,16.526098357932643,16.611471578944474,0.21951687639605047
task,libero_goal,task/libero_goal/open_the_top_drawer_and_put_the_bowl_inside.bddl,Open the top layer of the drawer and put the cream cheese inside,50,2,48,0,0.04,0.011038884327619805,0.1346009068750702,216.5,300.0,48,17.758899044478312,17.522977172583342,17.903345431620256,17.984858137122355,0.2433746829525464
task,libero_goal,task/libero_goal/put_the_bowl_on_the_stove.bddl,Put the plate on the stove,50,4,46,0,0.08,0.03154951408859297,0.18838246918342838,180.5,300.0,46,17.44512857683003,16.917569140242414,17.877542768279092,18.101639326745644,0.2349662380589224
task,libero_goal,task/libero_goal/put_the_bowl_on_top_of_the_cabinet.bddl,Put the plate on the top of the drawer,50,5,45,0,0.1,0.04347576493189041,0.21360231437479654,168.0,300.0,45,17.621715961256996,16.83503769762814,17.94022982860915,18.28449537107721,0.23381996802261307
swap(position),libero_spatial,swap(position)/libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl,Pick the akita black bowl next to the ramekin and place it on the plate,50,7,43,0,0.14,0.06950833427016294,0.2618619371058554,177.0,220.0,43,15.220061808591709,14.87271152947098,15.528051518276333,15.874208747423253,0.20656543790931917
task,libero_spatial,task/libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl,Pick the akita black bowl on the top of the cabinet and place it on the plate,50,7,43,0,0.14,0.06950833427016294,0.2618619371058554,124.0,220.0,43,15.423311608610675,14.630291364295408,15.612562045129016,15.835144831994548,0.20319849117076955
swap(position),libero_spatial,swap(position)/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.bddl,Pick the akita black bowl on the stove and place it on the plate,50,8,42,0,0.16,0.08337420678033404,0.2851421606303499,109.0,220.0,42,16.087148927152157,15.177779862750322,16.391464009461924,16.594859803654252,0.21080249809375445
task,libero_goal,task/libero_goal/put_the_wine_bottle_on_top_of_the_cabinet.bddl,put the wine bottle in the bowl,50,9,41,0,0.18,0.09770192670234178,0.30796053674300783,81.0,300.0,41,17.71015537995845,15.721231642020866,18.02313605877571,18.46487634139601,0.21835043947251204
task,libero_goal,task/libero_goal/put_the_cream_cheese_in_the_bowl.bddl,put the wine bottle in the bowl,50,11,39,0,0.22,0.1275391597021442,0.3524154958125367,85.0,300.0,39,17.630345152458176,15.00924877582118,17.853496542945503,18.315937552000396,0.20846178855307193
swap(position),libero_10,swap(position)/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,put both the cream cheese box and the butter in the basket,50,13,37,0,0.26,0.15871527493552393,0.39553157264848837,444.0,520.0,37,30.226086631184444,29.161027505705132,30.789893098082395,32.406189554720186,0.4050142709125713
task,libero_spatial,task/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl,Pick the akita black bowl next to the ramekin and place it on the plate,50,13,37,0,0.26,0.15871527493552393,0.39553157264848837,109.0,220.0,37,15.156863556941971,13.565844660708681,15.369768237043171,15.52928625350818,0.18841450917650945
swap(position),libero_object,swap(position)/libero_object/pick_up_the_butter_and_place_it_in_the_basket.bddl,Pick the butter and place it in the basket,50,14,36,0,0.28,0.17474170665911232,0.4166512369595657,220.5,280.0,36,15.915324343601242,15.046497261617333,16.302275066357108,16.536428876426072,0.20897912863357407
task,libero_10,task/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,put both the alphabet soup and the butter in the basket,50,16,34,0,0.32,0.20758216260656848,0.45810297308144077,315.5,520.0,34,30.14895373955369,27.702638048753144,31.05084937862121,31.87014202445745,0.3847588617882381
object,libero_goal,object/libero_goal/open_the_top_drawer_and_put_the_bowl_inside.bddl,Open the top layer of the drawer and put the bowl inside,50,17,33,0,0.34,0.2243694922250009,0.478461739497674,180.0,300.0,33,17.807458953233436,16.101435258425774,18.351249828515574,18.744462777664886,0.2236310452559135
object,libero_10,object/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl,put the yellow and white mug in the microwave and close it,50,20,30,0,0.4,0.27608389730256544,0.5381856225241064,282.5,520.0,30,27.679296413436532,23.738580095367507,28.422673418652266,28.503584285927936,0.3297025013245487
swap(position),libero_object,swap(position)/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket.bddl,Pick the alphabet soup and place it in the basket,50,21,29,0,0.42,0.2937500335471198,0.5576655823142176,159.0,280.0,29,15.73880548006855,14.031795539064333,16.050814878800885,16.574100654586218,0.19488604915367128
task,libero_goal,task/libero_goal/put_the_bowl_on_the_plate.bddl,Put the wine bottle on the plate,50,21,29,0,0.42,0.2937500335471198,0.5576655823142176,102.0,300.0,29,17.58870140928775,13.801928932331503,18.10470693972893,18.51946116978303,0.19169345739349308
object,libero_object,object/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket.bddl,Pick the alphabet soup and place it in the basket,50,23,27,0,0.46,0.3296965219222435,0.5960112860084253,222.0,280.0,27,15.74353073979728,14.164115334292873,16.090857642516493,16.709976202184336,0.19672382408740102
object,libero_goal,object/libero_goal/put_the_cream_cheese_in_the_bowl.bddl,Put the cream cheese on the bowl,50,32,18,0,0.64,0.501410168761127,0.7586125034815325,116.5,300.0,18,9.297761398600414,11.757984366351739,18.43264897619374,18.691030060295013,0.16330533842155193
task,libero_10,task/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl,put the left moka pot on the stove,50,32,18,0,0.64,0.501410168761127,0.7586125034815325,408.0,520.0,18,23.418873030226678,23.93045479164459,27.396726479101925,27.545863873627965,0.3323674276617304
task,libero_10,task/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,put both the cream cheese and the tomato sauce in the basket,50,32,18,0,0.64,0.501410168761127,0.7586125034815325,268.0,520.0,18,17.95945540862158,22.45266160547733,31.037878097407518,31.555694213863465,0.3118425222982963
lan(semantic),libero_10,lan(semantic)/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl,place both moka pots on stove,50,33,17,0,0.66,0.521538260502326,0.7756305077749992,410.0,520.0,17,23.783312074374408,23.932587331654503,27.410726485820486,27.65348669821862,0.3323970462729792
swap(position),libero_10,swap(position)/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl,pick up the book and place it in the back compartment of the caddy,50,33,17,0,0.66,0.521538260502326,0.7756305077749992,179.0,520.0,17,10.922413995722309,15.449437035452574,27.1250563474372,27.379681212808936,0.21457551438128575
object,libero_10,object/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl,put both moka pots on the stove,50,35,15,0,0.7,0.562496495355466,0.8089644649911906,402.0,520.0,15,23.30792458052747,23.761109761735426,27.343752053426577,27.577899938132614,0.33001541335743645
swap(position),libero_goal,swap(position)/libero_goal/put_the_bowl_on_the_plate.bddl,Put the bowl on the plate,50,36,14,0,0.72,0.5833487630404344,0.8252582933408878,165.5,300.0,14,11.769635292002931,12.982410374963656,17.970258457632735,18.340589568899013,0.18031125520782856
swap(position),libero_spatial,swap(position)/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate,50,40,10,0,0.8,0.6696289406777459,0.887562499842239,115.0,220.0,10,9.267611325718462,11.106883431589232,15.663975604949519,15.953348405323922,0.15426226988318376
lan(semantic),libero_10,lan(semantic)/libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl,place white mug on plate and chocolate pudding to right,50,42,8,0,0.84,0.7148578393696501,0.916625793219666,224.0,520.0,8,13.395664213458076,16.154988823058083,28.093440194474535,29.141364785307086,0.2243748447646956
lan(semantic),libero_goal,lan(semantic)/libero_goal/push_the_plate_to_the_front_of_the_stove.bddl,move the plate to the stove’s front,50,42,8,0,0.84,0.7148578393696501,0.916625793219666,123.5,300.0,8,8.513042530510575,10.155487025761976,17.57766298931092,18.12720731799491,0.14104843091336078
task,libero_goal,task/libero_goal/turn_on_the_stove.bddl,Turn off the stove,50,42,8,0,0.84,0.7148578393696501,0.916625793219666,48.0,300.0,8,4.002136395312846,6.134749708576128,17.38827341957949,17.739654723093842,0.08520485706355733
object,libero_10,object/libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,turn on the stove and put the moka pot on it,50,44,6,0,0.88,0.7619518261679701,0.9438239984906773,247.0,520.0,6,13.413268614793196,15.304204975860193,26.12239138893783,26.65521962352097,0.21255840244250268
object,libero_10,object/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl,put the black bowl in the bottom drawer of the cabinet and close it,50,44,6,0,0.88,0.7619518261679701,0.9438239984906773,222.0,520.0,6,12.502871699165553,14.6934418287687,28.44660712815821,29.03096704831347,0.20407558095512085
lan(semantic),libero_10,lan(semantic)/libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,switch stove on and put moka pot on it,50,45,5,0,0.9,0.7863976856252035,0.9565242350681096,248.0,520.0,5,13.428958792239428,15.009195684511214,18.48443925646135,26.865160174020566,0.20846105117376687
swap(position),libero_goal,swap(position)/libero_goal/open_the_top_drawer_and_put_the_bowl_inside.bddl,Open the top layer of the drawer and put the bowl inside,50,45,5,0,0.9,0.7863976856252035,0.9565242350681096,214.0,300.0,5,13.115026723127812,13.683773826193065,17.523638659808785,17.76347496039234,0.19005241425268146
swap(position),libero_goal,swap(position)/libero_goal/put_the_bowl_on_the_stove.bddl,Put the bowl on the stove,50,45,5,0,0.9,0.7863976856252035,0.9565242350681096,130.0,300.0,5,9.077419618377462,10.573343787463381,16.522514406684788,18.68584556623362,0.14685199704810253
lan(semantic),libero_goal,lan(semantic)/libero_goal/open_the_top_drawer_and_put_the_bowl_inside.bddl,slide open the top drawer and place the bowl in it,50,46,4,0,0.92,0.8116175308165717,0.968450485911407,184.5,300.0,4,11.696552846115083,12.501914003212004,16.309189796261492,18.225378048885613,0.1736376944890556
lan(semantic),libero_spatial,lan(semantic)/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl,pick the bowl beside the plate and put it on plate,50,46,4,0,0.92,0.8116175308165717,0.968450485911407,94.0,220.0,4,7.521209046710283,8.191239948552102,10.047379795555027,14.790945998383686,0.11376722150766808
task,libero_spatial,task/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl,Pick the akita black bowl on the stove and place it on the plate,50,46,4,0,0.92,0.8116175308165717,0.968450485911407,121.0,220.0,4,9.784180054673925,10.483237116355449,13.212242381321268,15.655110969939269,0.1456005155049368
lan(semantic),libero_10,lan(semantic)/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,place alphabet soup and tomato sauce into basket,50,47,3,0,0.94,0.8378290831116182,0.979385029651026,269.0,520.0,3,17.030868999194354,17.84663239591755,20.895225461293013,30.33843301146291,0.24786989438774373
lan(semantic),libero_spatial,lan(semantic)/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,lift the black bowl between the plate and ramekin and set it on the plate,50,47,3,0,0.94,0.8378290831116182,0.979385029651026,78.0,220.0,3,6.4562859542202204,7.173452062262222,8.255409109033645,15.210489192474633,0.09963127864253087
lan(semantic),libero_spatial,lan(semantic)/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl,take the black bowl from the top drawer and put it on plate,50,47,3,0,0.94,0.8378290831116182,0.979385029651026,127.0,220.0,3,9.653125194367021,10.024686330826952,10.352105948282407,15.574290893012659,0.1392317545948188
object,libero_10,object/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl,pick up the book and place it in the back compartment of the caddy,50,47,3,0,0.94,0.8378290831116182,0.979385029651026,222.0,520.0,3,12.886845702072605,14.082384630283341,16.27914725285955,27.744669351838528,0.19558867542060196
